Company,Company code,Date,Open Price,High Price,Low Price,Close Price,WAP,No. of shares,No. of trades,Total turnover,Deliverable Quantity,%Delivered Qty to Traded Qty,High-Low Spread,Close-Open Spread
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,21/04/17,557.15,559.60,552.70,556.15,555.75,130422,3016,72481566,30787,23.61,6.90,-1.00
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,20/04/17,555.00,558.30,550.05,553.65,553.44,151723,2512,83969488,35028,23.09,8.25,-1.35
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,19/04/17,554.90,558.45,543.00,555.05,551.40,147493,2682,81328080,45674,30.97,15.45,0.15
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,18/04/17,563.90,566.00,553.00,555.15,558.90,129131,2611,72171411,41354,32.02,13.00,-8.75
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,17/04/17,560.30,567.00,554.05,558.30,560.68,128423,2404,72004704,40382,31.44,12.95,-2.00
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,13/04/17,544.55,563.80,538.00,559.10,553.53,333194,6163,184431516,116894,35.08,25.80,14.55
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,12/04/17,538.00,546.00,523.00,542.45,537.18,194501,3728,104482161,35011,18.00,23.00,4.45
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,11/04/17,543.90,545.60,529.05,537.10,539.88,123970,2332,66928844,40058,32.31,16.55,-6.80
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,10/04/17,540.00,555.00,538.50,542.60,542.07,208946,3391,113263613,89310,42.74,16.50,2.60
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,7/04/17,523.00,541.50,522.00,534.80,534.97,303542,4909,162387366,78896,25.99,19.50,11.80
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,6/04/17,521.15,526.30,519.15,524.40,523.38,112688,2817,58979113,34720,30.81,7.15,3.25
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,5/04/17,520.00,524.90,515.50,522.60,519.50,77501,1441,40262090,23425,30.23,9.40,2.60
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,3/04/17,527.50,527.50,516.50,518.35,520.04,88111,1572,45821371,29963,34.01,11.00,-9.15
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,31/03/17,519.00,529.50,517.75,525.45,525.88,324675,3144,170739654,51591,15.89,11.75,6.45
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,30/03/17,517.00,521.30,514.30,517.35,517.97,114540,2918,59328591,32108,28.03,7.00,0.35
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,29/03/17,519.75,523.20,516.60,518.70,519.69,108437,1510,56353317,33080,30.51,6.60,-1.05
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,28/03/17,519.80,521.65,516.20,518.50,518.14,66212,1283,34307074,22772,34.39,5.45,-1.30
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,27/03/17,518.05,522.20,516.00,517.20,518.19,75454,1412,39099670,23183,30.72,6.20,-0.85
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,24/03/17,519.90,519.90,513.50,517.80,516.11,167873,5457,86640910,67856,40.42,6.40,-2.10
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,23/03/17,520.00,527.00,518.00,521.60,523.27,564916,5152,295601566,311968,55.22,9.00,1.60
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,22/03/17,504.00,513.85,498.75,510.95,508.26,195848,4739,99542573,54431,27.79,15.10,6.95
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,21/03/17,511.55,515.00,504.60,505.70,507.66,127333,3067,64641612,33319,26.17,10.40,-5.85
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,20/03/17,514.10,516.00,510.45,511.55,513.00,98511,1771,50536413,28116,28.54,5.55,-2.55
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,17/03/17,520.10,522.90,511.20,513.15,516.16,178498,5117,92133666,50883,28.51,11.70,-6.95
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,16/03/17,515.25,522.25,513.90,520.10,518.02,269734,3534,139728201,110631,41.01,8.35,4.85
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,15/03/17,520.00,522.60,513.00,515.25,516.61,292095,3991,150899908,109370,37.44,9.60,-4.75
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,14/03/17,521.80,526.50,515.80,518.50,519.74,190579,3836,99051840,62710,32.90,10.70,-3.30
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,10/03/17,519.50,519.50,508.80,512.70,513.24,132331,2806,67917228,39457,29.82,10.70,-6.80
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,9/03/17,517.75,523.60,514.55,515.60,518.52,196954,4014,102123964,54767,27.81,9.05,-2.15
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,8/03/17,528.00,531.00,513.15,515.05,517.72,209269,3951,108343740,60393,28.86,17.85,-12.95